id,question,A,B,C,D.,answer,category
503,"No Linux, qual comando ______ é usado para listar os arquivos no diretório atual.",ps,cd,mv,ls,A,Operating system
504,"No Linux, conceder permissão executável a um script ()",chmod +x nome_do_arquivo.sh,chown +x nome_do_arquivo.sh,chmod +r nome_do_arquivo.sh,chown +r nome_do_arquivo.sh,D.,Operating system
505,"A estrutura de diretório do sistema de arquivos Linux é uma árvore de cabeça para baixo, e os arquivos são colocados em diretórios relacionados de acordo com suas funções. Existe um arquivo de dispositivo externo existente, onde devemos colocá-lo?",/bin,/etc,/dev,/lib,D.,Software architecture
506,"Qual das seguintes opções está errada na descrição do comando para visualizar informações do CPU, memória, swap e disco rígido sob linux?",cat /proc/cpuinfo: comando do sistema Linux para visualizar parâmetros relacionados ao CPU,cat /proc/meminfo: comando do sistema Linux para visualizar informações de memória do sistema Linux,du -h: Visualizar informações do disco rígido,cat /proc/swaps: visualizar informações de todas as partições de swap,A,Operating system
507,Qual dos seguintes comandos pode testar se a rede está conectada?,ping,traceroute,netstat,ifconfig,B,Application
508,"A seguinte afirmação sobre o processo da máquina virtual Dalvik (DVM), o processo do Linux e o processo do programa de aplicativo é correta:","DVM se refere à máquina virtual Dalvik, cada aplicativo Android roda em seu próprio processo, possui uma instância independente da máquina virtual Dalvik e cada DVM não é necessariamente um processo no Linux, portanto, não é um conceito","DVM se refere à máquina virtual Dalvik, cada programa sistema do Android roda em seu próprio processo, não necessariamente tem uma instância independente da máquina virtual Dalvik e cada DVM é um processo no Linux, portanto, pode ser considerado o mesmo conceito","DVM se refere à máquina virtual Dalvik, cada programa sistema do Android roda em seu próprio processo, não necessariamente tem uma instância independente da máquina virtual Dalvik e cada DVM não é necessariamente um processo no Linux, portanto, não é um conceito","DVM se refere à máquina virtual Dalvik, cada aplicativo Android roda em seu próprio processo, possui uma instância independente da máquina virtual Dalvik e cada DVM é um processo no Linux, portanto, pode ser considerado o mesmo que o conceito",A,Operating system
509,Qual das seguintes descrições sobre i-nodes está incorreta?,Há uma correspondência um-para-um entre i-nodes e nomes de arquivos,O inode pode descrever o número de blocos ocupados pelo arquivo,O inode descreve o tamanho do arquivo e os ponteiros para os blocos de dados,Realizar a transformação da estrutura lógica e física do arquivo através do i node,A,Operating system
510,O parâmetro para especificar o comando de permissão de execução para o programa script é,chmod +x filename.sh,chown +x filename.sh,chmod +w filename.sh,chown +r filename.sh,D.,Network 
511,Escreva o comando Linux para completar as seguintes funções: Use o comando sed para substituir todas as palavras AAA no arquivo xyz por BBB,sed 's/AAA/BBB' xyz,sed 's/AAA/BBB/g' xyz,sed 's/AAA/BBB/p' xyz,sed 's/AAA/BBB/d' xyz,B,Operating system
512,"Suponha que você esteja monitorando um servidor executando Nginx e você obtenha os seguintes indicadores de desempenho: ""Concurrent Connections: 800, Average Response Time: 400ms, CPU Usage: 70%, Memory Usage: 60%, Disk I/O: 40MB/s"". Com base nesses indicadores, qual das seguintes sugestões de otimização você acha que é a mais apropriada?",Reduzir o número de conexões simultâneas,Aumentar o número de núcleos de CPU,Aumentar a largura de banda de I/O de disco,Otimizar a aplicação para reduzir o tempo de resposta,B,Middleware
513,"No ambiente Shell, como verificar há quanto tempo o sistema Linux remoto está em execução?","scp user@monitored host ip ""uptime""","ssh user@monitored host ip ""uptime""","ssh user@monitored host ip ""cputime""","scp user@monitored host ip ""cputime""",C,Operating system
514,"O shell não é apenas um interpretador de comandos do usuário, mas também uma linguagem de programação poderosa. Qual é o shell padrão do Linux?",bash,ruby,PHP,perl,A,Operating system
515,"Em relação à diferença entre new/delete e malloc/free, qual das opções está errada?","malloc e free são funções da biblioteca padrão, e new/delete são operadores","new inicializa o objeto, chama o construtor do objeto, e malloc apenas aloca memória","new e delete só podem ser usados em C++, enquanto malloc e free só podem ser usados em C","O que new e delete retornam é o ponteiro da variável do tipo alocado (objeto), e o que malloc e free retornam é ponteiro void",C,Operating system
516,"Se o nome do arquivo-fonte do programa de aplicativo ARM desenvolvido com base no sistema operacional Linux é test.c, então para gerar as informações de depuração do código do programa, qual comando GCC está correto para usar ao compilar?",arm-linux-gcc -c -o test.o test.c,arm-linux-gcc -S -o test.o test.c,arm-linux-gcc -o test test.c,arm-linux-gcc -g -o test test.c,B,Network 
517,"Para um arquivo com permissão 765, qual das seguintes é a bandeira de permissão correta ()?",-rw-rw-rx,-rw-r-xr-r,-rwxrw-rx,#NAME?,C,Operating system
518,"No bash, adicionar ""1>&2"" após um comando significa:",Saída padrão redirecionada para saída de erro padrão,Entrada padrão redirecionada para saída de erro padrão,Saída padrão redirecionada para entrada padrão,Saída de erro padrão redirecionada para entrada padrão,B,Application
519,"Qual dos seguintes comandos pode contar o número de linhas que aparecem em ""Ji Niu Net"" em um arquivo?","vim ""jiniu.com"" nome do arquivo | wc -l","grep ""jiniu.com"" nome do arquivo | wc -l","ls ""Ji Niu Wang"" | wc","vim ""jiniu.com"" nome do arquivo | wc",C,Middleware
520,O que o comando find -newer file1 ! file2 significa?,"Encontrar arquivos com uma hora de mudança mais recente do que file1, mas mais antiga do que file2","Encontrar arquivos com uma hora de mudança mais antiga do que file1, mas mais recente do que file2",Encontrar arquivos com uma hora de mudança mais antiga do que file1 e mais antiga do que file2,Encontrar arquivos com uma hora de mudança mais recente do que file1 e mais recente do que file2,B,Network 
521,"Quando um host na rede local utiliza o comando ping para testar a conexão de rede, é encontrado que os hosts na rede podem ser conectados, mas não podem ser conectados à rede pública. O problema pode ser ()",A configuração de IP do host está errada,Não há gateway para conectar à LAN,O gateway da LAN ou o gateway do host está configurado incorretamente,As configurações do servidor DNS da LAN estão incorretas,C,Infrastructure
522,"No Linux, executar #chmod 645 file.sh no arquivo file.sh, a permissão do arquivo é ():",#NAME?,-rw-r--rx-,-rw-r--rw-,#NAME?,B,Operating system
523,"Suponha que você esteja escrevendo uma expressão de análise Grok para a seguinte mensagem de log: '2021-03-16 01:16:32,251 [myid:1] - WARN [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:18095:NIOServerCnxn@383] - Exception causing close of session 0x0: ZooKeeperServer not running'. Qual das seguintes expressões Grok é a correta?",%{TIMESTAMP_ISO8601:timestamp} [myid:%{INT:id}] - %{LOGLEVEL:loglevel} [NIOServerCxn.Factory:%{IP:ip}/%{IP:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}] - %{GREEDYDATA:message},%{TIMESTAMP_ISO8601:timestamp} [myid:%{INT:id}] - %{NONNEGINT:loglevel} [NIOServerCxn.Factory:%{IP:ip}/%{IP:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}] - %{GREEDYDATA:message},%{TIMESTAMP_ISO8601:timestamp} [myid:%{INT:id}] - %{LOGLEVEL:loglevel} [NIOServerCxn.Factory:%{IPV6:ip}/%{IPV6:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}] - %{GREEDYDATA:message},%{TIMESTAMP_ISO8601:timestamp} [myid:%{INT:id}] - %{LOGLEVEL:loglevel} [NIOServerCxn.Factory:%{IPV6:ip}/%{IPV6:ip}:%{INT: port}:NIOServerCnxn@%{INT:line}] - %{DATA:message},D.,Middleware
524,"Em um sistema Unix, se um processo termina enquanto seus processos filhos ainda estão em execução (não foram mortos), esses processos filhos se tornarão processos órfãos. Qual dos seguintes processos do sistema assumirá o controle do processo órfão?",syslogd,init,sshd,vhand,C,Application
525,"No diretório atual existem dois arquivos a e b, execute o comando ""ls>c"", qual é o conteúdo no arquivo c?",a,b,ab,abc,A,Infrastructure
526,"Under linux, the specified file file1 is readable, writable, and executable by all users. Execute the command: ___1__. Change the owner of file1 to test, the owner group to user, and execute the command:___2__.","chmod 776, chown test","chmod 777, chown user","chmod 777, chown test","chmod 778, chown user",A,Operating system
527,Qual é o arquivo do usuário que define o ambiente do bash?,bash & .bashrc,bash & bash_profile,bashrc & .bash_profile,bashrc & .bash_conf,D.,Operating system
528,O que o comando cat -n file1 file2 significa?,Apenas o conteúdo do arquivo file1 será exibido na tela.,Juntar os arquivos file1 e file2 juntos e depois exibir na tela.,Criar arquivos file1 e file2,Exibir o conteúdo de file2 em file1 e salvá-lo,A,Software architecture
529,Qual é o comando para visualizar a porta ocupada pelo programa de serviço sob Linux?,ps -aux,netstat –apn,watch,lsof,C,Network 
530,"Para a declaração Linux, a seguinte afirmação é correta ()","Quando o acesso linear à memória é ilegal, a thread atual entrará na função de processamento de sinais","Ao mover um arquivo com o comando mv, o horário de modificação do arquivo mudará",ulimit -c define o tamanho da pilha de chamadas de função,A função malloc é uma interface para aplicativos solicitarem memória do sistema operacional,D.,Middleware
531,"Em sistemas Linux, o seguinte comando não pode ser usado para visualizar o conteúdo de arquivos ()",cat,ls,less,more,A,Database
532,Qual dos seguintes comandos pode interceptar os dados do conteúdo especificado de cada linha do arquivo de texto.,cp,dd,fmt,cut,B,Network 
533,Qual é o comando para verificar o uso de disco no Linux?,dd,df,top,netstat,A,Operating system
534,"Em scripts de automação de middleware, os métodos comuns de conexão são:",SSH,FTP,HTTP,Telnet,C,Infrastructure
535,"Um arquivo executável no sistema Linux pertence ao usuário root e tem setuid. Quando o usuário comum mike executa este programa, o usuário efetivo e o usuário real do processo gerado são ____?",root mike,root root,mike root,mike mike,B,Operating system
536,"No sistema Linux, os arquivos de configuração e subdiretórios usados para armazenar o sistema são:",/etc,/var,/root,/home,D.,Middleware
537,"O acesso do arquivo exer1 é rw-r--r--, e agora é necessário aumentar a autoridade de execução de todos os usuários e a autoridade de escrita dos usuários no mesmo grupo. Os seguintes comandos estão corretos:",chmod a+x g+w exer1,chmod 765 exer1,chmod o+x exer1,chmod g+w exer1,D.,Network 
538,Qual é o comando para verificar o processo ativo do sistema no Linux?,ps,netstat,df,ifconfig,C,Operating system
539,Qual a ordem para exibir o diretório atual?,echo $(pwd),echo pwd,$pwd,pwd | echo,B,Infrastructure
540,"O arquivo crontab é composto por 6 domínios, cada um dos quais é separado por um espaço. Qual das seguintes disposições está correta?",MIN HOUR DAY MONTH YEAR COMMAND,MIN HOUR DAY MONTH DAYOFWEEK COMMAND,COMMAND HOUR DAY MONTH DAYOFWEEK,COMMAND YEAR MONTH DAY HOUR MIN,D.,Operating system
541,Qual é o comando para visualizar registros de cache ARP no Linux?,"""arp -a""","""arp -d""","""arp -L""","""arp –D""",A,Infrastructure
542,"Entre as seguintes funções, a que não pertence à mesma categoria que as outras funções é _____.",fread,gets,getchar,spread,D.,Network 
543,"Na diretório de configuração do xdm, qual arquivo é utilizado para definir o aplicativo que é inicializado automaticamente após o usuário se logar através do xdm?",O arquivo Xsession,O arquivo Xsetup_0,O arquivo Xstart_up,O arquivo GiveConsole,A,Infrastructure
544,"No Linux, para definir as permissões do arquivo start.sh para ser legível, modificável e executável por ele mesmo, os usuários no grupo serem apenas legíveis e executáveis e não modificáveis, e o resto dos usuários não terem nenhuma permissão, então o comando para definir as permissões do arquivo é ()",chmod start.sh 706,chmod start.sh 750,chmod start.sh 705,chmod start.sh 777,C,Software architecture
545,"Você é responsável pelo sistema de middleware de uma empresa, que inclui Nginx e Tomcat, executando em 4 servidores, e cada servidor tem a mesma configuração e implantação. Entre eles, 2 servidores estão localizados no sala de computadores A, e 2 servidores estão localizados no sala de computadores B. Você agora precisa projetar uma solução de recuperação de desastres para garantir a alta disponibilidade e a segurança dos dados do sistema de middleware. Qual das seguintes estratégias é razoável?","Configure um servidor no sala de computadores A e sala de computadores B como servidor de backup, e inicie apenas quando o servidor principal falhar","Usando tecnologia de balanceamento de carga, configure todos os 4 servidores como um cluster e habilite a sincronização de dados ao mesmo tempo","Selecione um servidor na sala de computadores A e sala de computadores B para backup dual-máquina quente. Quando uma das máquinas falhar, ela mudará imediatamente para a outra","Configure um servidor principal, escolha um na sala de computadores A e um na sala de computadores B como servidores de backup e troque apenas quando o servidor principal falhar",D.,Network 
546,"Ao usar I/O multiplexado para monitorar os dados de 3 soquetes, se os descritores de soquete são: 5, 17, 19, então select (int maxfd, struct fd_set *rdset, NULL, NULL) deve ser considerado como ()",4,20,5,9,C,Software architecture
547,"Um arquivo executável no sistema Linux pertence ao usuário root e possui um setid. Quando o usuário comum mike executa este programa, quem são os usuários efetivos e reais do processo gerado?",root mike,root root,mike root,mike mike,D.,Operating system
548,"No sistema Linux, ao executar um programa, as variáveis globais não inicializadas do programa serão carregadas em qual dos seguintes segmentos de memória?",BSS,TEXT,DATA,STACK,C,Middleware
549,int main(){fork()||fork();} cria vários processos no total:_____,1,2,3,4,B,Operating system
550,O caso em que o kernel não precisa ser compilado é ().,Quando está sendo excluído drivers de dispositivos não utilizados pelo sistema,quando está sendo atualizado o kernel,quando está sendo adicionado novo hardware,Ativar a placa de rede,D.,Operating system
551,"Entre as afirmações a seguir sobre a comunicação por pipeline (Pipe), a correta é ():",Um pipeline pode realizar transmissão de dados bidirecional,A capacidade do pipeline é limitada apenas pelo tamanho do disco,Os processos podem ser bloqueados tanto para leitura quanto para escrita no pipeline,Um pipeline só pode ter um processo leitor ou um processo escritor nele,D.,Operating system
552,"Ao fazer login no Linux, um shell com um número de ID de processo único será invocado, o que é este ID",NIDs,PIDs,UID,CID,A,Operating system
553,O seguinte diretório armazena informações de senha do usuário,/boot,/etc,/var,/dev,C,Infrastructure
554,"Ao usar a função de preenchimento automático, qual tecla deve ser pressionada para entrar com os primeiros ou últimos poucos caracteres de um comando ou arquivo",ctrl,tab,alt,esc,C,Operating system
555,Qual é o comando para sair do vim sem salvar?,A. :q,B.q,C. :wq,D. :q!,A,Network 
556,"Se você estiver projetando uma solução de monitoramento de sistema na qual precisa monitorar o uso de recursos de contêineres Docker, qual dos seguintes componentes você deve usar?",Grafana,cAdvisor, MySQL Exporter,Redis Exporter,D.,Operating system
557,Sua aplicação deve ser executada em contêineres e precisa interagir com vários serviços diferentes. Qual dos seguintes cenários é uma abordagem razoável para descoberta e registro de serviços?,Hardcode os endereços IP de todos os serviços no arquivo /etc/hosts de cada contêiner,"Use o serviço DNS para descoberta de serviços, registre manualmente um registro DNS para cada serviço","Use o Kubernetes como agendador de contêineres, combinado com suas capacidades integradas de descoberta de serviços e balanceamento de carga",Use um script shell para periodicamente varrer a rede e gerar dinamicamente um arquivo de configuração contendo todos os endereços dos serviços,A,Database
558,"Quais são os sinais dos três símbolos de permissão de arquivo leitura, gravação e execução?",A. rwx,B. xrw,C. rdx,D. rws,A,Operating system
559,"As permissões dos membros fora do grupo de um arquivo são apenas de leitura, o proprietário tem todas as permissões, e as permissões do grupo são de leitura e escrita. Qual é a permissão do arquivo?",A. 467,B. 674,C. 476,D. 764,B,Operating system
560,Qual é o comando para mudar o proprietário de um arquivo?,A. chmod,B. touch,C. chown,D. cat,B,Operating system
561,Qual é o comando para verificar a memória e a memória de troca no Linux?,A. top,B. last,C. free,D. lastcomm,A,Operating system
562,Qual é o comando para observar o processo dinâmico do sistema?,A. free,B.top,C. lastcomm,D.df,C,Software architecture
563,"Encontre todos os arquivos com a extensão "".txt"" no diretório atual e suas subdiretórias, então qual é o comando?",A. ls -l *.txt,"B. find /opt -name "".txt""",C. ls -d .txt,"D. find -name ""*.txt""",D.,Operating system
564,O comando para visualizar o endereço IP no sistema Linux é:,ipconig,ifconfig,icmp,iptables,C,Information security 
565,O comando para entrar no modo privilegiado de roteamento cisco é,system-view,enable,config,sudo su,A,Middleware
566,A sequência correta de resolução de consulta DNS é:,"Cache, local ou não, arquivo HOSTS, servidor DNS","Se local, cache, arquivo HOSTS, servidor DNS","Cache, local ou não, servidor DNS, arquivo HOSTS","Se máquina local, arquivo HOSTS, cache, servidor DNS",B,Operating system
567,"O agente de reencaminhamento de e-mail também é chamado de servidor de reencaminhamento de e-mail. Ele pode usar o protocolo SMTP, ou que protocolo ele pode usar",FTP,TCP,UUCP,POP,A,Operating system
568,Qual das seguintes afirmações é verdadeira sobre índices em bancos de dados SQL?,"Os índices podem acelerar consultas, mas retardam as escritas","Os índices podem melhorar a velocidade de escrita, mas retardar a velocidade de consulta",Os índices podem melhorar a velocidade de consulta bem como a velocidade de escrita,Os índices não melhoram a velocidade de consulta nem a velocidade de escrita,C,Network 
569,DHCP é a sigla para Dynamic Host Configuration Protocol. Sua função é permitir que administradores de rede gerenciem um sistema de rede através de um servidor e atribuam endereços automaticamente a hosts em uma rede.,rede,MAC,tcp,ip,D.,Operating system
570,Qual é o comando para mudar o proprietário de um arquivo?,chmod,touch,chown,cat,B,Operating system
571,Qual é o comando para encontrar uma string que corresponda à condição definida em um arquivo fornecido,grep,gzip,find,sort,D.,Operating system
572,Qual é o comando que pode ser usado para criar um novo arquivo,chmod,more,cp,touch,C,Operating system
573,"Dentre os seguintes comandos, qual opção não exibe o conteúdo do arquivo de texto",more,less,tail,join,C,Operating system
574,Qual é o nome de usuário ao fazer login anônimo no ftp,users,anonymous,root,guest,B,Operating system
575,"Quais são os três símbolos de permissões de arquivo de leitura, escrita e execução?",wx,xrw,rdx,srw,B,Operating system
576,O comando mysql para listar todas as bases de dados é,show databases;,show tables;,select databases;,select tables;,A,Operating system
577,"No editor de texto vim do sistema Linux, se a modificação do arquivo não for salva, qual comando deve ser usado para sair forçosamente do editor vi?",:q,:wq,:q!,:!q,B,Operating system
578,The linux system call refers to ()?,calls initiated by the kernel,Functions in the glibc library,Programs run by system administrators,It is the interface for the user process to call the kernel function,D.,Application
579,Qual dos seguintes comandos está correto quando você precisa criar um usuário em uma base de dados MySQL?,CREATE USER 'username'@'localhost' IDENTIFIED BY 'password';,ADD USER 'username'@'localhost' IDENTIFIED BY 'password';,NEW USER 'username'@'localhost' IDENTIFIED BY 'password';,USER 'username'@'localhost' IDENTIFIED BY 'password';,B,Operating system
580,Qual dos seguintes comandos pode ser usado para obter o uso do CPU da máquina ()?,ifconfig,uptime,top,netstat,A,Operating system
581,As permissões de arquivo do Linux têm um total de 10 dígitos e são divididas em quatro seções. O conteúdo da terceira seção é _()?,tipo de arquivo,permissões do grupo do proprietário do arquivo,permissões do proprietário do arquivo,permissões para outros usuários,A,Infrastructure
582,What is the state of test.txt after executing chmod 644 test.txt ()?,drw-r--r--,-rw-r--r--,lrwxr--r--,rwxr- -rw-,A,Operating system
583,Realize a criação de uma pasta ( ) do dia atual na diretório /tmp após o boot?,"echo ""mkdir /tmp/`date %Y%m%d`"" >> /etc/rc.d/rc.local","echo ""mkdir /tmp/date +%Y%m%d"" >> /etc/rc.d/rc.local","echo ""mkdir /tmp/`date +%Y%m%d`"" >> /etc/rc.d/rc.local",echo 'mkdir /tmp/`date +%Y%m%d`' >> /etc/rc.d/rc.local,A,Operating system
584,"Qual comando é utilizado para inquirir, não para encontrar o sistema de arquivos no disco rígido, mas para procurar o banco de dados de nomes de arquivos, e pode utilizar caracteres curingas ()?",where is,find,locate,type,A,Operating system
585,Todos os sistemas de arquivos atualmente carregados pelo sistema são refletidos no arquivo ().,/usr/sbin/cfdisk,/sbin/fdisk,/etc/mtab,/etc/fstab,B,Middleware
586,"Para criar um novo usuário administrador admin, quais parâmetros ( ) precisam ser usados?",useradd -u 0 -o admin,useradd -g -0 admin,useradd -p -d admin,useradd -e -f admin,A,Operating system
587,Qual é o comando para verificar a conexão TCP ()?,tcpdump,top,netstat,ifconfig,D.,Software architecture
588,O tipo de sistema de arquivos padrão usado pelo RED HAT LINUX 9 é:,ext2,ext3,FAT,swap,B,Application
589,"Se o diretório atual é /etc, o comando ls -l exibirá os arquivos no diretório etc",Todos os arquivos,todos os arquivos ocultos,todos os arquivos não ocultos,informações específicas do arquivo,B,Operating system
590,"Suponha que você queira usar o Prometheus para monitorar o banco de dados MySQL, qual dos seguintes passos está correto?",Adicione o IP do nó do MySQL no arquivo de configuração do Prometheus,Instale uma instância separada do Prometheus em cada nó do MySQL,Altere o código-fonte do MySQL para que ele possa ser monitorado pelo Prometheus,Exporte as métricas do Prometheus nos nós do MySQL usando o mysqld_exporter,B,Middleware
591,"Ao usar mount para montar um dispositivo ou um sistema de arquivos, qual diretório é o nome do dispositivo a ser usado em?",/home,/bin,/etc,/dev,A,Operating system
592,"Para desinstalar um pacote, use:",rpm -i,rpm -e,rpm -q,rpm -v,A,Operating system
593,"No sistema Linux, como usar o comando crontab para verificar quais tarefas programadas existem sob a conta do usuário atual?",crontab -e,crontab -l,crontab -r,crontab –s,C,Operating system
594,"Em qual ambiente, como copiar arquivos do docker para o local sem entrar no docker?",docker cp container_id:/root/.bashrc /tmp/,ftp,scp:/root/.bashrc /tmp,docker scp container_id:/root/.bashrc /tmp/,D.,Operating system
595,Como verificar as informações detalhadas do contêiner abc?,Docker rmi -f 'docker images -q -a',Docker stats container id,Docker top container id,Docker inspect abc,C,Middleware
596,Como fazer backup de uma imagem docker?,docker backup,docker save,docker export,docker write,B,Operating system
597,Como rodar uma imagem zabbix e abrir um terminal?,docker run -it zabbix bash,docker pull zabbix,docker search zabbix,docker inspect zabbix,B,Information security 
598,Como o docker para todos os contêineres em execução?,sudo docker run IMAGE env,sudo docker rmi $(sudo docker images -q -f dangling=true),docker kill $(sudo docker ps -q),docker kill $ (sudo docker ps -a -q),B,Application
599,Os nomes de arquivos Linux não podem exceder este número de caracteres em comprimento.,64,128,256,512,A,Operating system
600,"Para iniciar um processo em background, que símbolo deve ser adicionado no final do comando?",&,@,#,$,A,Information security 
601,"Ao executar o comando mysql e reportar um erro ""ERROR 1045 (28000): Access denied for user 'root'@'localhost' (using password: YES)"", qual das seguintes soluções é correta?","Excluir o diretório de dados do MySQL, em seguida, reiniciar o MySQL",Adicionar o usuário atual ao grupo de usuários mysql,Adicionar sudo antes do comando mysql,Verificar e confirmar que a senha do usuário root está correta,D.,Operating system
602,"O arquivo crontab consiste de seis domínios, cada domínio é separado por um espaço, qual é o formato da disposição",MIN HOUR DAY MONTH YEAR COMMAND,MIN HOUR DAY MONTH DAYOFWEEK COMMAND,COMMAND HOUR DAY MONTH DAYOFWEEK,COMMAND YEAR MONTH DAY HOUR MIN,C,Operating system
603,"Quando usamos ftp para transferência de arquivos, quais são os dois modos?",Word e binário,.txt e Documento do Word,ASCII e binário,ASCII e Rich Text Format,C,Operating system
604,"A permissão de membros fora do grupo de um arquivo é só de leitura; o proprietário tem todas as permissões; a permissão do grupo é de leitura e escrita, então qual é a permissão do arquivo?",467,674,476,764,B,Operating system
605,Qual é o número de porta padrão para a conexão do servidor Apache,1024,800,80 (http),8,D.,Operating system
606,Qual problema o uso combinado de PHP e MySQL resolve?,Lidar com problemas de acesso a banco de dados no Proxy,Lidar com Acesso Ilegal de Hackers no Servidor WWW,Lidar com Problemas de Acesso a Banco de Dados no Servidor WWW,Lidar com Problemas de Acesso a Banco de Dados no Sistema de E-mail Sendmail,B,Operating system
607,O que é OpenSSL?,Software de criptografia,sistema de correio,sistema de gerenciamento de banco de dados,linguagem de programação de script embutido,B,Network 
608,Quais são as flags para tipos de arquivos de dispositivo de caractere,p,c,the s,l,D.,Network 
609,"Existe um arquivo chamado 'file' sob o diretório /home/stud1/wang, qual comando pode ser usado para executar o comando em segundo plano, e este comando irá gerar o conteúdo do arquivo 'file' para o arquivo 'file.copy'.",cat file >;file.copy,cat >;file.copy,cat file file.copy &,cat file >;file.copy &,C,Middleware
610,"No arquivo de configuração do DNS, o que é usado para representar o alias de um host",NS,CNAME,name,CN,D.,Network 
611,"Sabe-se que um determinado usuário, stud1, possui um diretório de usuário de /home/stud1. Qual é o comando para exibir o nome do arquivo ou diretório, grupo de usuário, usuário, tamanho do arquivo, permissão de arquivo ou diretório, horário de criação do arquivo e outras informações de todos os arquivos no diretório atual em páginas",ls -al | more,ls -l,more < ls -al,ls -al,C,Operating system
612,"Suponha que você esteja monitorando um servidor executando MySQL e você obtenha os seguintes dados de desempenho: ""Concurrent Connections: 800, Average Response Time: 400ms, CPU Usage: 70%, Memory Usage: 60%, Disk I/O: 40MB/s"". Com base nesses dados, qual das seguintes sugestões de otimização você acha que é a mais apropriada?",Reduza o número de conexões concorrentes,Aumente o número de núcleos de CPU,Aumente a largura de banda de disk I/O,Otimize as consultas SQL para reduzir o tempo de resposta,A,Application
613,"Se você quiser configurar um servidor FTP anônimo, qual arquivo deve ser modificado.",/etc/gateway,/etc/ftpservers,/etc/ftpusers,/etc/inetd.conf,D.,Infrastructure
614,"Para configurar o servidor NFS, qual arquivo é principalmente configurado no lado do servidor.",/etc/rc.d/rc.inet1,/etc/rc.d/rc.M,/etc/exports,/etc/rc.d/rc.S,D.,Operating system
615,Qual arquivo deve ser editado para garantir que o processo DHCP seja iniciado automaticamente quando o servidor é iniciado.,/etc/rc.d/rc.inet2,/etc/rc.d/rc.inet1,/etc/dhcpd.conf,/etc/rc.d/rc.S,B,Middleware
616,Qual das opções está correta para o seguinte comando:,ls e sl,cat e tac,more e erom,exit e tixe,A,Information security 
617,Which command is to execute save and exit in the vi editor.,:q,ZZ,:q!,:WQ,A,Database
618,Qual opção não é uma diferença entre um processo e um programa.,"Um programa é um conjunto de instruções estáticas ordenadas, e um processo é um processo de execução do programa","Um programa só pode ser executado no primeiro plano, enquanto um processo pode ser executado no primeiro plano ou em segundo plano","Programas podem ser salvos por um longo tempo, o progresso é temporário","Programas não têm estado, enquanto os processos são estado-dependentes",C,Operating system
619,"Ao usar o comando mkdir para criar um novo diretório, a opção para criar o diretório pai primeiro se o diretório pai não existir é", -m, -d, -f, -p,D.,Operating system
620,O comando utilizado para escrever uma transação na base de dados é:,insert,rollback,commit,savepoint,C,Middleware
621,Como o docker limpa arquivos temporários de imagens em lotes?,sudo docker run IMAGE env,sudo docker rmi $(sudo docker images -q -f dangling=true),docker kill $(sudo docker ps -q),docker rm $ (sudo docker ps -a -q),B,Operating system
622,Como visualizar estatísticas de contêineres?,Docker rmi -f 'docker images -q -a',Docker stats container id,Docker top container id,Docker inspect abc,B,Operating system
623,"Suponha que você esteja escrevendo uma regra de parsing de log para a seguinte mensagem de log: ""2021-03-16 01:16:32,251 [Note] Access denied for user 'root'@'localhost' (using password: YES)"". Qual das seguintes regras de parsing de log está correta?","%{TIMESTAMP_ISO8601:timestamp},%{INT:log_milliseconds} \[%{WORD:log_level}\] %{GREEDYDATA:log_message}",%{TIMESTAMP_ISO8601:timestamp} \[%{WORD:log_level}\] %{GREEDYDATA:log_message},"%{TIMESTAMP_ISO8601:timestamp},%{INT:log_milliseconds} \[%{WORD:log_level}\] %{WORD:log_message}",%{TIMESTAMP_ISO8601:timestamp} \[%{WORD:log_level}\] %{WORD:log_message},D.,Infrastructure
624,Onde os arquivos de imagem locais do Docker são armazenados?,/var/lib/docker/directory, /lib/docker/directory, /var/docker/directory, /var/libs/docker/directory,C,Operating system
625,"After opening a file with vi in Linux, if you want to search for 'test' from the beginning of the cursor to the end of the file, what command should you execute?", /test, ?test, s/test, find/test,C,Infrastructure
626,Qual dos seguintes comandos pode ser usado para visualizar a placa de rede atual e a configuração do endereço IP da placa de rede?, ipconfig -a, ifconfig -a, ip -a, ip-net,A,Application
627,"Por favor, forneça o comando para visualizar o caminho completo do comando ""cat"".", where cat, find cat, which cat, search cat,C,Network 
628,O comando para modificar a linha 23 de test.txt de test para tset no shell é:, sed -i '23s/test/tset/g' test.txt, sed -i 'n23s/test/tset/g' test.txt, sed -l 'n23s/test/tset/g' test.txt, sed -a '23s/test/tset/g' test.txt,B,Operating system
629,"No Linux, que comando pode ser usado para visualizar o conteúdo de um arquivo.", more, cd, login, log out,D.,Infrastructure
630,O que o comando usermod não pode fazer é:, renomear conta, Excluir a conta especificada e o diretório home correspondente, Bloqueio e Desbloqueio de Contas de Usuários, Bloqueio ou desbloqueio de senha de usuário,D.,Infrastructure
631,A correta descrição do arquivo /etc/fstab é:,"Depois que o sistema inicia, o sistema gera automaticamente",Usado para gerenciar informações do sistema de arquivos,"Usado para definir as regras de nomenclatura, se usar tab para nomear um arquivo",Salvar informações de hardware,B,Software architecture
