id,question,A,B,C,D,answer,category
403,Como verificar a localização do arquivo de configuração de um software RPM?,rpm -qc rpm1,rpm -Vc rpm1,rpm --config rpm1,rpm -qa --config rpm1,A,Middleware
404,Como verificar o registro de modificação de um software RPM?,rpm -Vc postfix,rpm -qpil postfix,rpm --changelog postfix,rpm -q --changelog postfix,D,Database
405,Qual é o comando para instalar o código compilado through Makefile?,make,install,make depend,make install,D,Middleware
406,Qual o comando para descompactar um arquivo tar?,tar -czvf filename.tgz,tar -xzvf filename.tgz,tar -tzvf filename.tgz,tar -dzvf filename.tgz,B,Middleware
407,"Em o arquivo de configuração XF86Config, qual seção é usada para definir o arquivo de fonte?",A seção Fontes.,A seção Arquivos.,A seção xfsCodes.,A seção Gráficos.,B,Software architecture
408,O que se refere colorir de 8 bits?,64K cores,16K cores,256 cores,16M cores,C,Software architecture
409,Quais dos seguintes arquivos é usado para definir a resolução de tela do X window?,xinit,xinitrc,XF86Setup,XF86Config,D,Operating system
410,Qual variável é usada para especificar que um aplicativo X remoto envie a saída para um servidor X específico?,DISPLAY,TERM,ECHO,OUTPUT,A,Software architecture
411,"No diretório de configuração do xdm, qual arquivo é usado para definir o aplicativo que é automaticamente lançado após o usuário fazer logon através do xdm?",O arquivo Xsession,O arquivo Xsetup_0,O arquivo Xstart_up,O arquivo GiveConsole,B,Application
412,O comando netstat -a parou por um tempo sem responder. Qual poderia ser o problema?,NFS (Network File System),DNS (Domain Name System),NIS (Network Information Service),roteador,B,Network 
413,Qual é o protocolo usado por ping?,TCP,UDP,SMB,ICMP,D,Network 
414,Qual dos seguintes comandos não é utilizado para visualizar falhas de rede?,ping,init,telnet,netstat,B,Network 
415,Quais é o protocolo normalmente usado para acesso à Internet via cabo de?,PPP,UUCP,SLIP,Ethernet,A,Network 
416,"Em TCP/IP, qual protocolo é usado para a alocação automática de IP?",ARP,NFS,DHCP,DNS,C,Network 
417,Quais dos seguintes arquivos define a porta para o serviço de rede?,/etc/netport,/etc/services,/etc/server,/etc/netconf,B,Network 
418,Qual das seguintes funções é usada para gerar um checksum de um arquivo?,md5,tar,crypt,md5sum,A,Information security 
419,"Por padrão, o email do usuário é colocado em?",~/mail/,/var/mail/,/var/mail/spool/,/var/spool/mail/,D,Infrastructure
420,Quais dos seguintes arquivos contém um listagem de diretório para uso pelo demônio NFS?,/etc/nfs,/etc/nfs.conf,/etc/exports,/etc/netdir,C,Middleware
421,Como parar o serviço telnet de uma máquina?,Coloque NENHUM na /etc/telnet.allow,Coloque uma linha 'ALL:ALL' em /etc/hosts.deny,Comente a entrada telnet em /etc/inittab,Comente a entrada telnet em /etc/xinetd.conf,D,Middleware
422,Em que arquivo estão mantidos os alias do sendmail?,/etc/aliases,/etc/mailaliases,/etc/sendmail.aliases,/etc/sendmail/aliases,A,Middleware
423,Qual é o arquivo de configuração para os demônios smbd e nmbd?,/etc/exports,/etc/smb.conf,/etc/samba/config,/usr/local/samba.cfg,B,Middleware
424,Qual dos seguintes comandos é usado para descarregar um módulo do kernel?,rmmod,unmod,delmod,modprobe,A,Operating system
425,Em que circunstâncias você deve executar o lilo?,uma vez ao dia do cron,uma vez por semana do cron,após instalar um novo kernel,após instalar um novo módulo,C,Operating system
426,Qual é o comando que mostra todos os módulos carregados?,lsmod,dirmod,modules,modlist,A,Operating system
427,Qual dos seguintes comandos limpa a fila de impressão?,lpflush,lprm -,lpclear,lprm all,B,Operating system
428,Quais das seguintes comandos podem visualizar a interrupção da placa de rede?,cat /proc/ioports,cat /proc/interrupts,cat /proc/memoryinfo,which interrupts,B,Network 
429,"Among the following network protocols, which is the connection-oriented protocol?",transmission control protocol,User Datagram Protocol,internet protocol,Internet Control Message Protocol,A,Network 
430,O controle de acesso do arquivo exer1 é atualmente rw-rr. Agora é necessário aumentar a autoridade de execução para todos os usuários e a autoridade de gravação para usuários no mesmo grupo. Qual das seguintes instruções está correta?,chmod a+x g+w exer1,chmod g+w exer1,chmod 765 exer1,chmod o+x exer1,A,Operating system
431,"Quais são os tres identificadores de permissões de arquivo read, write, and execute?",wx,xrw,rdx,srw,A,Information security 
432,Qual é o comando que pode ser usado para criar um novo arquivo?,chmod,more,cp,touch,D,Infrastructure
433,Qual é o comando para arquivar arquivos?,dd,cpio,gzip,tar,D,Middleware
434,Qual é o comando para alterar o dono/proprietário de um arquivo?,chmod,touch,chown,cat,C,Operating system
435,"Para verificar se a rede de um servidor em particular está desbloqueada, qual é o comando comum?",tracert,ping,tracerout,shou ip route,B,Network 
436,Qual é o comando para verificar o uso do disco sob Linux?,dd,df,top,netstat,B,Operating system
437,Como é possível desligar o sistema sob Linux?,init 0,reboot,init 6,shutdown -r now,B,Operating system
438,Qual é a tecnologia central adotada pela Internet?,Protocolo TCP/IP,Tecnologia LAN,Tecnologia de telecomunicação,Tecnologia de fibra ótica,A,Network 
439,"Em sistemas na Internet, aplicativos de e-mail?",O envio de e-mail e a recepção de e-mail geralmente usam o protocolo SMTP,"O envio de e-mail geralmente usa o protocolo SMTP, enquanto a recepção de e-mail geralmente usa o protocolo POP3","O envio de e-mail geralmente usa o protocolo POP3, enquanto a recepção de e-mail geralmente usa o protocolo SMTP",O envio de e-mail e a recepção de e-mail geralmente usam o protocolo POP3,B,Application
440,Quais das seguintes afirmações são verdadeiras?,O comando para visualizar o IP sob Linux é ipconfig (deveria ser ifconfig),O comando para resolução do nome de domínio é nslookup,A porta para o Escritório Remoto do Windows é 3306 (deveria ser 3389),"O comando Ping é utilizado principalmente para detectar se a porta de determinado IP está aberta (deveria ser: para detectar se a conexão de rede está ativa ou não, isso pode ser um endereço IP de domínio)",B,Application
441,"Entre os endereços IP abaixo, qual deles é do tipo Classe B?",112.213.12.23,210.213.23.12,23.123.213.23,156.123.32.12,D,Network 
442,Qual das opções abaixo não é um requisito para o Windows Calculator adicionar domínios?,Mudar o nome do computador Windows,Ponteiros DNS corretos,IP do controlador de domínio,Endereço IP do Windows Calculator,C,Software architecture
443,Quais das seguintes opções atenderão às suas necessidades de instalação de software de desktop?,Usuários Direct Access,Usuários de Área de Trabalho Remota,Administrador,Usuários,C,Software architecture
444,Qual dos seguintes bancos de dados corresponde ao seu número de porta padrão corretamente?,Mysql -->5000,SQL Server -->1433,Oracle -->3306,DB2 -->1521,B,Database
445,O que é o resultado da omissão da cláusula where na instrução delete?,A instrução delete irá falhar porque não existem registros para serem deletados,A instrução delete irá deletar todos os dados da tabela,A instrução delete irá solicitar que o usuário insira os critérios para exclusão,A instrução delete irá falhar devido a um erro de sintaxe,B,Database
446,Pode um índice de banco de dados melhorar significativamente a eficiência daquela operação?,select,insert into...value...,update,delete,A,Database
447,Qual dos seguintes recursos pode ser usado como uma ferramenta de conexão de cliente para banco de dados MySQL?,RDO,SSH,Navicat,PL/SQL,C,Database
448,Verifique rapidamente se o JDK foi instalado com êxito e qual é o comando para exibir a versão do JDK atualmente instalada?,java-version,javac,java-help,java -Werror,A,Operating system
449,"O arquivo chamado fido teve sua modificação com chmod 551 fido, quais são suas permissões?",#NOME?,#NOME?,#NOME?,-r-xr-x--x,D,Operating system
450,O sistema de nome de domínio DNS (Domain Name System) é mainly responsible for the resolution between host names and what?,IP address,MAC address,website address,host alias,A,Network 
451,"O servidor WWW é o mais amplamente utilizado na Internet, o que estrutura adota ele?",servidor/estação de trabalho,B/S (Browser/Server),centralizada,distribuída,B,Network 
452,Quais é o comando do sistema Linux utilizado para enviar mensagens a outros usuários?,less,mesg y,write,echo to,C,Operating system
453,O que é o sistema NFS?,documento,disco,arquivo de rede,operar,C,Infrastructure
454,Qual é o comando que pode completar a cópia de arquivos para fita no sistema de segurança Linux?,cp,tr,dir,cpio,B,Operating system
455,"Os arquivos necessários para estabelecer rotas dinâmicas são (),",/etc/hosts,/etc/gateways,/etc/resolv.conf,/etc/autofs.conf,B,Network 
456,Qual dos seguintes comandos permite visualizar a hora de inicialização do sistema atual?,w,top,ps,uptime,D,Operating system
457,"após a descompressão do tgz no diretório /tmp, os usuários podem usar o comando",tar xvzf myftp.tgz –C /tmp,tar xvzf myftp.tgz –R /tmp,tar vzf myftp.tgz –X /tmp,tar xvzf myftp.tgz /tmp,A,Infrastructure
458,"Após a execução de chmod((&quot;<usr/test/sample&gt;`,0753) no sistema Unix, a permissão de acesso do arquivo sample é","O proprietário pode ler, gravar e executar, usuários no mesmo grupo podem escrever e executar e outros usuários podem ler e executar","O proprietário pode ler, gravar e executar, usuários no mesmo grupo podem ler e escrever e outros usuários podem ler e executar","O proprietário pode ler, gravar e executar, usuários no mesmo grupo podem ler e executar e outros usuários podem executar e gravar","O proprietário pode ler, gravar e executar, usuários no mesmo grupo podem ler e executar e outros usuários podem ler e executar",C,Operating system
459,"() não pode ser usado para comunicação de processos no Linux,",Memória compartilhada,named pipe,sinal,seção crítica,D,Operating system
460,"Quando não há condição para estabelecer um servidor DNS no intranet e você não deseja utilizar o IP para acessar o site, qual arquivo deve ser configurado?",hosts,sysconfig,rede,hostname,A,Middleware
461,Qual das seguintes instruções sobre linux sobre a verificação da carga do sistema está incorreta?,O comando uptime é amplamente utilizado para obter o tempo de funcionamento do host e obter informações sobre a carga do sistema Linux,O comando vmstat permite exibir a carga do CPU,O comando sar permite exibir informações sobre a interface de rede,O comando free permite exibir a carga do disco,D,Operating system
462,Quais das seguintes métodos/comandos não podem verificar se um IP é acessível?,telnet,ping,tracert,top,D,Network 
463,Como existe um diretório no sistema de arquivos Linux?,pasta,documento,inode,link simbólico,B,Operating system
464,Qual dos seguintes comandos não é usado para visualizar falhas de rede?,telnet,ping,init,netstat,C,Network 
465,O arquivo de configuração para o servidor Samba é,httpd.conf,inetd.conf,rc.samba,smb.conf,D,Middleware
466,"Na descrição a seguir da chamada de sistema, o erro é:",As chamadas de sistema transmitem requisições de aplicativos para o kernel do sistema para execução,O processo chamado na chamada de sistema é executado em 'modo usuário',Vários serviços fornecidos pelo sistema operacional podem ser obtidos por meio de chamadas de sistema,Trata-se da interface fornecida pelo sistema operacional aos programadores,B,Operating system
467,Qual variável é utilizada para especificar a qual servidor X uma aplicação X remota envia saída?,TERM,DISPLAY,ECHO,OUTPUT,B,Software architecture
468,As permissões de arquivo do Linux têm um comprimento total de 10 dígitos e estão divididas em quatro seções. O conteúdo indicado pela terceira seção é ( ).,tipo de arquivo,permissões do proprietário do arquivo,Permissões do grupo do proprietário do arquivo,Permissões para outros usuários,C,Operating system
469,"Você alterou o GID do grupo de vendas editando o arquivo /etc/group. Todos os membros do grupo podem realizar a conversão com êxito, exceto Jack, que nem consegue efetuar logon. Qual é o motivo?",Jack esqueceu a senha do grupo,É necessário adicionar Jack ao grupo novamente,O GID de Jack está especificado em /etc/passwd,É necessário excluir e criar novamente a conta de Jack,C,Operating system
470,"Entre os parâmetros de carregamento do sistema de arquivos especificados no arquivo /etc/fstab, os parâmetros a seguir geralmente são usados para dispositivos móveis, como CD-ROMs.",padrões,sw,rw e ro,no auto,D,Infrastructure
471,"Entre as seguintes funções, a que não pertence à mesma categoria que as outras funções é ____?",ler (read),espalhar (spread),escrever (write),fseek,D,Software architecture
472,"Em um ambiente Linux em execução em um processador multi-kernel, se o trecho crítico for muito curto e o thread context switching não for permitido, qual dos seguintes mecanismos deve ser usado para atender aos requisitos acima e ter o melhor desempenho?",SpinLock,Mutex,Semáforo,Variable de condição,A,Operating system
473,"No sistema Linux, qual é o comando para conceder permissão de execução a um arquivo?",chown,mv,sudo,chmod,D,Operating system
474,"Existe um arquivo ip.txt, cada linha tem um registro ip, e existem várias linhas no total. Quais dos comandos a seguir podem realizar a contagem das 3 ocorrências do ip mais frequentes e suas vezes?",uniq -c ip.txt|sort -nr|head -n 3,sort ip.txt|uniq -c|sort -rn|head -n 3,cat ip.txt COUNT -n|sort -rn|head -n 3,cat ip.txt │sort │uniq -c │sort -rn │top -n 3,B,Application
475,A sistema de chamada do sistema Linux se refere a,chamadas iniciadas pelo kernel,Funções na biblioteca glibc,Programas executados por administradores de sistema,É a interface para que o processo do usuário chame a função do kernel,D,Operating system
476,"Em relação ao processo do Linux, as seguintes afirmativas estão incorretas:","O processo zumbi será absorvido pelo processo init, o que não causará desperdício de recursos;","O processo pai do processo órfão sai antes, sendo então adotado pelo processo init, o que também não causará desperdício de recursos;","Um processo é a unidade mais pequena de gerenciamento de recursos, enquanto uma thread é a unidade de execução de programa mais pequena. Em Linux, as threads são essencialmente implementadas como processos;","Se o processo filho apenas ler o recurso, ele compartilha completamente o espaço de endereçamento físico com o processo pai.",A,Operating system
477,Quais parâmetros de conexão é necessário adicionar ao compilar um programa multi-threaded utilizando a biblioteca pthread?,#NAME?,#NAME?,fcond-mismatch,#NAME?,A,Operating system
478,"To shut down the Linux system (without restarting), you can use the command ( ).",Ctrl+Alt+Del,stop,shutdown -r now,reboot,B,Operating system
479,"Os arquivos do sistema de arquivos Linux são classificados em diretórios relevantes de acordo com suas funções. Para arquivos de dispositivos externos, eles devem ser colocados normalmente no diretório ( )",/bin,/etc,/dev,/lib,C,Infrastructure
480,Todos os sistemas de arquivos atualmente montados no sistema são refletidos no arquivo _____.,/usr/sbin/cfdisk,/sbin/fdisk,/etc/mtab,/etc/fstab,C,Infrastructure
481,Qual dos seguintes é correto:,Cada thread tem o mesmo stack,i++ é thread safe e não requer sincronização,x=y é thread safe e não requer sincronização,"Para um processo, o tamanho do seu virtual memory é limitado pelo tamanho da memória física",D,Application
482,"Há um arquivo ip.txt, cada linha contém um registro ip, e existem several lines no total. Quais das seguintes comandos podem realizar a contagem das 3 ocorrências do top ip e seus tempos?",uniq -c ip.txt | sort -nr | head -n 3,sort ip.txt | uniq -c | sort -rn | head -n 3,cat ip.txt | count -n | sort -rn | head -n 3,cat ip.txt | sort | uniq -c | sort -rn | top -n 3,B,Infrastructure
483,"Se precisar descobrir a qual pacote pertence o arquivo /etc/my.conf, pode executar: (),",rpm -requires /etc/my.conf,rpm -q /etc/my.conf,rpm -q|grep /etc/my.conf,rpm -qf /etc/my.conf,D,Middleware
484,A descrição abaixo sobre o link está incorreta.,Um link rígido (hard link) é quando o número do i-nó do arquivo ligado aponta para o i-nó do arquivo linkado,Links rígidos e simbólicos geram um novo número do i-nó,Links são divididos em links rígidos e simbólicos,Links rígidos não podem linkar arquivos de diretórios,B,Middleware
485,"O privilégio após executar chmod 644 mm.txt é (),",#NAME?,rw-r--r--,#NAME?,rwxr-xrwx,A,Operating system
486,Quais dos seguintes não é um tipo de processo do sistema Linux: ( ),processo interactivo,processo em batch,processo de demon,processo pronto,D,Operating system
487,O protocolo ARP utiliza ( ),diffusão,multidifusão,unicast,Nenhuma das opções acima estão corretas,A,Network 
488,"Os itens de software são armazenados em /ftproot, o que permite aos usuários do Apache modificar todos os programas e definir permissões de acesso?",chmod apache-R/ftproot,chmod apache/ftproot,chgrp apache/ftproot,chown apache/ftproot,D,Information security 
489,"No sistema Linux, para encontrar o conteúdo do arquivo try_grep que contenha a linha começando com a letra 'a', é possível utilizar o comando?",grep -E #$ try_grep,grep -E #a try_grep,grep -E ^\$ try_grep,grep -E ^a try_grep,D,Operating system
490,"Existem dois tipos de links no Linux: link rígido (Hard Link) e link simbólico (Soft Link); as seguintes afirmações estão corretas (),","Links simbólicos podem ser conectados entre sistemas de arquivos, mas links rígidos não podem,","Quando o arquivo original é excluído, o arquivo do link rígido ainda existirá, e o conteúdo permanecerá inalterado,","O link rígido é excluído e os arquivos de dados no disco serão excluídos ao mesmo tempo,","Links rígidos reconstruirão um inode, enquanto links simbólicos não o farão",A,Operating system
491,O processo de inicialização do init precisa ler ( ) o arquivo de configuração,/sbin/init,/bin/sh,/etc/sysvinit,/etc/inittab,D,Middleware
492,"Você é necessário verificar as condições do dispositivo no sistema, qual log deve ser verificado?",/var/log/tmp,/var/log/lastlog,/var/log/messages,/var/log/utmp,C,Infrastructure
493,"Arquivos no sistema de arquivos do Linux são colocados em diretórios relevantes de acordo com suas funções. Para arquivos de dispositivos externos, em qual diretório eles devem ser colocados?",/bin,/etc,/dev,/lib,C,Infrastructure
494,Quando se deve utilizar o comando para escrever as informações da memória no disco rígido ao reiniciar o sistema Linux?,reboot,halt,reboot,shutdown –r now,D,Operating system
495,Qual afirmativa sobre servidores proxy está correta?,"Para utilizar um proxy server público existente na internet, é necessário apenas configurar o cliente",O servidor proxy pode apenas encaminhar solicitações http de clientes,O proxy server configurado pode ser utilizado por qualquer host da rede,Os clientes que utilizam servidores proxy não possuem seus próprios endereços IP,A,Middleware
496,"Comando para desligar o sistema Linux (sem reiniciar), é possível?",Ctrl+Alt+Del,stop,shutdown -r now,reboot,B,Operating system
497,Qual é o comando para converter de endereço IP para MAC do Ethernet?,ping,ifconfig,arp,traceroute,C,Network 
498,"Use o comando ls -al para exibir a descrição do arquivo ff conforme mostrado abaixo, para que você possa saber o tipo do arquivo ff.",arquivo normal,link rígido,Tabela de conteúdos,link simbólico,A,Middleware
499,por que da comando delete arquivo?,mkdir,rmdir,mv,rm,D,Operating system
500,"Entre as opções a seguir, qual delas não pertence ao tipo de servidor DNS?",Servidor Primário Master,Servidor Secundário Master,Samba,Servidor Somente Cache,C,Network 
501,Escolha uma diferente das quatro opções.,telnet,rsync,wget,scp,B,Application
502,"No sistema UNIX, a estrutura de diretório adota ( )",uma estrutura de diretório de nível único,uma estrutura de diretório de nível secundário,uma estrutura de árvore simples de diretório,uma estrutura de árvore vinculada de diretório,D,Operating system
503,"No crontab do Linux * * * * * /usr/local/run.sh, o que os cinco asteriscos representam?",minuto hora dia mês semana,segundos minutos horas sol lun,Segundo Minuto Hora Dia Semana,minuto hora dia mês ano,A,Operating system
504,Quais das seguintes funções é uma chamada de sistema em vez de uma função de biblioteca?,printf,scanf,fgetc,read,D,Operating system
505,Quais software são instalados usando o comando dkpg?,.rpm,.tar.gz,.tar.bz2,.deb,D,Software architecture
506,"Existem quatro formas de atribuir valores às variáveis no shell, sendo uma delas o método name=12.",atribuição direta,Usar o comando read,Usando argumentos de linha de comando,Usando a saída do comando,A,Operating system
507,A única base para a manipulação de arquivos é?,nome do arquivo,handle de arquivo,endereço físico,Permissões de arquivo,B,Application
508,"Em Linux, use o comando tar para compactar o arquivo aaa em bak.tar.",tar -cf bak.tar aaa,tar -xf bak.tar aaa,tar -czf bak.tar aaa,tar -rf bak.tar aaa,A,Operating system
509,"Existem dois servidores de jogos em execução no kernel do Linux 2.6.x, e os logs de acesso dos usuários devem ser sincronizados. Considerando que as permissões e condições estejam corretas, qual dos seguintes métodos você utilizaria para sincronizar os logs?",rsync,wget,scp,ftp,A,Operating system
510,O que deve ser feito para que um host possa se comunicar com outro LAN através de um LAN?,Configure o DNS (Domain Name System),Defina uma rota que aponta para a rede local,Defina uma rota que aponta para o gateway da rede local,Defina uma rota local que aponte para o gateway da rede alvo,D,Network 
511,Como visualizar interrupções por meio de comando qual unter Linux?,cat /proc/ioports,cat /proc/interrupts,cat /proc/kcore,cat /proc/kms,B,Operating system
512,Escreva o comando gdb que cumpre as funções abaixo. Informação sobre thread do gdb.,bt,info thread,set scheduler-locking off,info break,B,Middleware
513,"Linux tem tres comandos para visualização de arquivos. Se você deseja utilizar o cursor para mover para cima e para baixo ao visualizar o conteúdo do arquivo durante o processo de visualização do conteúdo do arquivo, você deve utilizar o comando ( ).",cat,more,less,menu,C,Operating system
514,"Em gerenciamento cotidiano, o CPU geralmente afeta o desempenho do sistema nas situações a seguir:",CPU está funcionando em sua capacidade total,CPU opera com eficiência de 30%,A eficiência operacional da CPU é de 50%,CPU opera com eficiência de 80%,A,Operating system
515,Os direitos de arquivo do Linux têm um comprimento total de 10 dígitos e estão divididos em quatro seções. O que a terceira seção indica (?)?,tipo de arquivo,permissões do proprietário do arquivo,Permissões do grupo do proprietário do arquivo,Permissões para outros usuários,C,Operating system
516,"No modelo OSI, o protocolo HTTP funciona em ($) camada, e o switch em (#) camada.",July 3,July 2,June 3,June 2,B,Network 
517,"Em Linux, as permissões do arquivo file.sh são -rw-r--rx, e as permissões correspondentes são expressas na forma numérica como (),",775,745,645,643,C,Operating system
518,"No processo de chamada de recv(int sockfd, void *buf, size_t len, int flags), quantas operações de cópia de memória são executadas?",1,2,3,4,B,Application
519,Os seguintes comandos devem ser executados automaticamente em ( ): 06 03 * * 3 lp \/usr\/local\/message \| mail -s “server message” root,Toda quarta-feira às 06:03,Toda sexta-feira às 03:03,Toda quarta-feira às 03:06,Toda sexta-feira às 03:06,C,Middleware
520,"Entre os arquivos abaixo, o arquivo que contém o relacionamento de mapeamento entre o nome do host e o endereço IP é o ( ).",/etc/HOSTNAME,/etc/hosts,/etc/resolv.conf,/etc/networks,B,Network 
521,"Se o tamanho da memória de um computador for de 128MB, o tamanho da partição de swap costuma ser ( ).",64MB,128MB,256MB,512MB,C,Infrastructure
522,"Se você usa uma conta comum para fazer login remotamente no sistema Linux através do telnet, como alterar sua identidade para gerenciar o sistema com autoridade root?",chgrp,su,chusr,chmod,B,Operating system
523,Use o comando ls -al para listar a seguinte lista de arquivos; qual é o arquivo um link simbólico?,-rw-rw-rw- 2 hel-s users 56 Set 09 11:05 hello,-rwxrwxrwx 2 hel-s users 56 Set 09 11:05 goodbye,drwxr--r-- 1 hel users 1024 Set 10 08:10 zhang,lrwxr--r-- 1 hel users 2024 Set 12 08:12 cheng -> peng.yan1,D,Middleware
524,"Entre as seguintes funções, a que não pertence à mesma categoria que as demais funções é _____.",fwrite,putc,pwrite,putchar,C,Application
525,"Crie um novo usuário administrador admin, com os parâmetros a serem utilizados ( ),  ",useradd -u 0 -o admin,useradd -g 0 admin,useradd -m -s /bin/bash admin,"useradd --expiredate ""January 1 1970"" admin",A,Infrastructure
526,"Escreva as informações na memória no disco rígido enquanto reinicia o sistema Linux, você deve usar o comando () para alcançar,","#shutdown -r now,","#halt,","#reboot,",#init3,A,Operating system
527,"Em sistemas Linux, dois processos podem abrir o mesmo arquivo ao mesmo tempo. Neste momento, a afirmação seguinte está errada:",Gerar dois FDs independentes em dois processos,"Dois processos podem ler e gravar arquivos aleatoriamente, e o sistema operacional não garante a atomicidade da escrita","O processo pode travar o arquivo através da chamada do sistema, para realizar a proteção do conteúdo do arquivo","Quando um processo excluir o arquivo, outro processo imediatamente falhará ao ler e gravar",D,Operating system
528,Qual dos seguintes comandos git não é usado para mesclagem de código:,git pull --rebase,git merge,git cherry-pick,git blame,A,Software architecture
529,O comando para detectar a rota do host até o host de destino no Linux,ping,rotas,traceroute,ifconfig,C,Network 
530,O que significa o parâmetro -f da comanda cp copy?,copiar diretório,processamento recursivo,mostrar processo de execução,Forçar uma cópia,D,Middleware
531,A seguinte é a descrição correta do comando e parâmetros do backup mysqldump no linux,mysqldump -h ip -u --password DBNAME >bck.sql,mysqldump -P ip -h DBNAME >bck.sql,mysqldump -u ip -P DBNAME >bck.sql,mysqldump -h ip -u DBNAME >bck.sql,A,Database
532,O comando para visualizar a conexão de rede atual no Linux,ping,netstat,route,tracert,B,Network 
533,Em que local ficam as variáveis ambiente padrão quando se usa o shell?,~/.profile,~/.bash,/etc/profile.d,~/bash,A,Operating system
534,"Se um computador tiver 128MB de memória, o tamanho da partição de swap geralmente é",64MB,128MB,256MB,512MB,C,Infrastructure
535,Existe algum comando para verificar o status de montagem do disco sob Linux?,rpm,montar,netstat,df,B,Operating system
536,"O nome do arquivo é rr.Z, qual comando pode ser usado para descompactá-lo?",tar,gzip,compress,uncompress,D,Middleware
537,O utilitário Linux tcpdump escuta os dados da placa de rede eth0; o IP do outro host é 10.1.1.180 e a porta TCP é 80. Qual é o comando correspondente?,tcpdump -h eth0 -nn 'tcp and host 10.1.1.180:80',tcpdump -i eth0 -nn 'tcp and host 10.1.1.180:80',tcpdump -h eth0 -nn 'tcp and port 80 and host 10.1.1.180',tcpdump -i eth0 -nn 'tcp and port 80 and host 10.1.1.180',D,Network 
538,"Em bash, quais afirmativas abaixo são declarações de atribuição? (","a = ""test""","$a = ""test""","a = ""test""",$a=”test”,C,Operating system
539,Alguma das seguintes descrições está incorreta sobre as funções básicas de metadata no sistema de arquivos (como inodes em ext2) e as diferenças fundamentais entre ext2 e ext3?,"O inode do EXT2 é utilizado para definir a estrutura do sistema de arquivos e descrever a informação de gerenciamento de cada arquivo no sistema. Cada arquivo possui um e somente um inode. Mesmo que não haja dados no arquivo, seu índice ainda existe","O inode do EXT2 contém permissões de acesso a arquivos, proprietário, grupo, tamanho, tempo de geração, tempo de acesso e última modificação, entre outras informações. Ele é a unidade básica do sistema de arquivos Linux de gerenciamento de arquivos e é também uma ponte para o sistema de arquivos conectar qualquer subdiretório e arquivos.","O sistema de arquivos EXT2 é um sistema de arquivos não-journalizado, enquanto o ext3 possui vários modos de journal",O sistema de arquivos ext3 pode melhorar significantemente a integridade do sistema de arquivos,B,Infrastructure
540,Qual das seguintes descrições sobre o metadado do sistema de arquivos está incorreta?,"O metadata se refere a dados do sistema usados para descrever as características de um arquivo, tais como direitos de acesso, proprietário do arquivo e informações de distribuição de blocos de dados do arquivo, etc.",Podemos usar o comando stat para exibir mais informações de metadados sobre arquivos,O sistema Unix/Linux permite que múltiplos nomes de arquivos apontem para o mesmo número de inode,"Apesar dos números do inode de arquivo A e arquivo B serem diferentes, o conteúdo do arquivo A é o caminho do arquivo B. Ao ler o arquivo A, o sistema irá direcionar automaticamente o visitante para o arquivo B, o que é chamado de 'link rígido' do arquivo B",D,Operating system
541,"A access authority of the file exer1 is rw-r--r--, now it is necessary to increase the execution authority of all users and the write authority of users in the same group, which of the following commands is correct?",chmod a+x g+w exer1,chmod g+w exer1,chmod 765 exer1,chmod o+x exer1,A,Infrastructure
542,"Em Linux, qual é o limite superior teórico do número de conexões tcp que um porto pode aceitar?",1024,65535,65535 * 65535,sem limite,D,Network 
543,"If you want to list all files with the extension "".txt"" in the current directory and subdirectories, the command you can use is,","find . -name ""*.txt""",ls *.txt,find . -name *.txt,ls -d*.txt,A,Infrastructure
544,"Existem dois programas A e B em um sistema de tarefas únicas, onde o programa A: CPU: 10s -> dispositivo 1: 5s -> CPU: 5s -> dispositivo 2: 10s -> CPU: 10s; o programa B: dispositivo 1: 10s -> CPU: 10s -> Dispositivo 2: 5s -> CPU: 5s -> Dispositivo 2: 10s; a sequência de execução é A -> B, então a utilização da CPU será ( ),",30%,40%,50%,60%,C,Software architecture
545,"Das opções abaixo, aquelas que não se enquadram no escopo do comando ifconfig são:",Configurar o endereço de loopback local,Configurar o endereço IP do cartão de rede,Ativar o adaptador de rede,Carregar o cartão de rede no kernel,D,Network 
546,"Entre as seguintes funções, a que não pertence à mesma categoria que as outras funções é _____.",strcpy,strncpy,snprintf,strcat,C,Software architecture
547,Quais das seguintes descrições sobre processos huérfanos e processos zumbis estão incorretas?,"Processo huérfano: Um processo pai sai e um ou mais de seus processos filhos ainda estão em execução, nesses casos, esses processos filhos se tornam processos huérfanos.","Processo zumbi: Um processo usa fork para criar um processo filho. Se o processo filho sair e o processo pai não chamar wait ou waitpid para obter as informações de estado do processo filho, o descritor de processo do processo filho ainda será salvo no sistema. Esse tipo de processo é chamado de processo zumbi.","Processos huérfanos serão adotados pelo processo init (processo número 1), e o processo init completará o trabalho de coleta de estado para eles.",Tanto processos huérfanos quanto processos zumbis podem impedir o sistema de criar novos processos e devem ser evitados,D,Operating system
548,"Execute the command `find / -name 'test.c'`, the prompt after pressing ctrl+z is `[1] 166`, the way to continue the execution is (`) <what comes next>`,",kill 166,Ctrl+h,fg 1,bg 1,C,Middleware
549,"No sistema Linux, existem vários arquivos em uma pasta, qual comando é geralmente usado para obter o tamanho desta pasta:",ls -h,du -sh,df -h,fdish -h,B,Operating system
